학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
대학,142,순천향대학교,본교,충남,사립,기존,충청남도 아산시 신창면 순천향로 22 
대학,143,숭실대학교,본교,서울,사립,기존,서울특별시 동작구 상도로 369 
대학,144,신라대학교,본교,부산,사립,기존,부산광역시 사상구 백양대로700번길 140 
대학,145,아신대학교,본교,경기,사립,기존,경기도 양평군 옥천면 경강로 1276 아신대학교
대학,146,아주대학교,본교,경기,사립,기존,경기도 수원시 영통구 월드컵로 206 
대학,147,안양대학교,본교,경기,사립,기존,경기도 안양시 만안구 삼덕로37번길 22 
대학,148,안양대학교,제2캠퍼스,인천,사립,기존,인천광역시 강화군 불은면 중앙로 602-14 
대학,149,연세대학교,본교,서울,사립,기존,서울특별시 서대문구 연세로 50 
대학,150,연세대학교(미래),분교,강원,사립,기존,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스
대학,151,영남대학교,본교,경북,사립,기존,경상북도 경산시 대학로 280 
대학,153,영남신학대학교,본교,경북,사립,기존,경상북도 경산시 진량읍 봉회1길 26 
대학,154,유원대학교,본교,충북,사립,기존,충청북도 영동군 영동읍 대학로 310 
대학,155,영산선학대학교,본교,전남,사립,기존,전라남도 영광군 백수읍 성지로 1357 
